msgid,msgstr,
ALL,MINDEN,
Search,Keres,
Online,Online,
Register,Regisztrálni,
Login,Belépni,
Zip Code,Irányítószám,
No record found for your search criteria.,Nem talált semmilyen feljegyzést az alábbi keresési feltételekkel.,
Start a new Search,Új keresés indítása,
View Profile,Profil megnézése,
Non State,Nem állami,
Username:,Felhasználónév:,
Email:,E-mail cím:,
Note: A password will be emailed to you.,Megjegyzés: Egy jelszót fogunk küldeni az e-mail címedre.,
Username or Email already exist. Please try another one.,A felhasználónév vagy az email-cím már létezik. Próbáld egy másikkal.,
Please check your email for your username and password.,"Kérjük, ellenőrizze e-mailben jelszavát és felhasználónevét.",
Registration Successful,Sikeres regisztráció,
Your Login Details,Belépési adataid,
Registration is currently disabled.,A regisztráció jelenleg nem üzemel.,
Remember Me,Jegyezz meg,
Resend Password,Jelszó újraküldése,
Send New Password,Új jelszó küldése,
New Password Sent,Új jelszó elküldve,
Password Reset Successful,Jelszó visszaállítása sikeres,
Fields should not be empty.,Ne hagyjon üresen mezőt.,
Please enter a valid email address.,"Kérjük, írjon be egy érvényes e-mail címet.",
Dating Site Admin,Társkereső oldal adminisztrátor,
Zip Codes,Irányítószámok,
Select ON to activate the Zip Code field,Válassza a BE-t az Irányítószám mező aktiválásához,
Profiles,Profilok,
Galleries Photos,Galériafotól,
Members Photos,Tagok fotói,
Audios,Audió fájlok,
Videos,Videók,
Emails,E-mailek,
Blogs,Blogok,
Settings changes are saved.,Beállítások változtatása elmentve.,
Photos Waiting to be Approved,A fotók jóváhagyásra várnak,
Rejected Photos,Elutasított fotók,
Approve,Jóváhagyni,
Reject,Elutasítani,
Skip,Átugrani,
User Name,Felhasználónév,
Email Address,E-mail cím,
Registration Date,Regisztráció dátuma,
Status,Státusz,
Select Status,Státusz választása,
Submit,Küldeni,
Reason,Ok,
Title:,Cím:,
State:,Állapot:,
Select State,Állapot kiválasztása,
Date of Birth:,Születési idő:,
General,Általános,
Memberships,Tagságok,
Gateways,Gateway-ek,
Spam,Spam,
Premium Access,Prémium hozzáférés,
Matches,Találatok,
Profile,Profil,
Flirts,Flörtök,
Geography,Földrajz,
Email Templates,E-mail sablonok,
Language,Nyelv,
Blacklists,Feketelisták,
Coupon,Kupon,
Essays,Esszék,
Members Profiles,Tagok profiljai,
Pending,Függőben,
Approved,Jóváhagyva,
Rejected,Elutasított,
Skiped,Átugrott,
Deleted,Törölt,
New Email,Új e-mail,
Premium Member,Prémium tagság,
Active,Aktív,
Inactive,Inaktív,
edit,Szerkeszt,
Delete,Töröl,
Activation,Aktiválás,
Free Mode,Szabad mód,
My Articles,Cikkeim,
My Friends,Barátaim,
Skype Mode,Skype mód,
My Blogs,Blogjaim,
